"time","S_c1","C_c1","I_c1","VS_c1","VC_c1","S_h1","C_h1","I_h1","VS_h1","VC_h1","D_h1","CInc_1a","CInc_1b","CInc_1c","CInc_1d","col_adm","col_discharges","admissions","discharges","inc_bsi_hosp","inc_hosp_onset","total_cases"
40,78784.6249646767,1249.28661713896,0.088418181917973,0,0,350.757210952435,51.8387816437493,33.4040074038035,0,0,2143.35739599254,356914.216231312,5601.03229973363,5599.98488414364,4168.13722451399,65.5867998641072,259.953346946066,2537.75445615084,2517.00481016311,0.0709446473620119,2.54157619308808,2.61252084045009
41,78791.7697854072,1242.14231227381,0.0879023165414261,0,0,349.865730734226,52.2834651282149,33.850804137547,0,0,2144.08500583559,356922.711067553,5601.10232340129,5600.05541159884,4170.7009374504,67.0019168556425,267.853980071246,2599.59895177187,2578.06657098221,0.0705274552074115,2.56371293641041,2.63424039161782
42,78798.7616029196,1235.1509995798,0.0873974981760004,0,0,348.991501166119,52.7184641484116,34.2900346854575,0,0,2144.82220112191,356931.271796365,5601.1719497873,5600.1255307953,4173.28630957553,68.4090051329187,275.821360647544,2661.38574312539,2639.06110278311,0.0701191964581085,2.58537212513602,2.65549132159413
43,78805.6037365923,1228.30935991767,0.0869034875531559,0,0,348.134453876478,53.1438228406706,34.7217232828397,0,0,2145.56881840322,356939.896704332,5601.24118739817,5600.1952504773,4175.892864999,69.8082366052687,283.854022116288,2723.11581416845,2699.98955193626,0.0697196819974124,2.60655542346376,2.67627510546117
44,78812.2994572757,1221.61412266926,0.0864200525673217,0,0,347.29450145664,53.5596035374928,35.1458950058548,0,0,2146.32469476328,356948.584109072,5601.3100445552,5600.26457919678,4178.52013046323,71.1997794388417,291.950506032473,2784.79014565496,2760.85306108024,0.0693287194790173,2.62726546423346,2.69659418371248
45,78818.8519853543,1215.0620676795,0.0859469637668622,0,0,346.47153931513,53.9658841558155,35.5625765290426,0,0,2147.08966784458,356957.332359911,5601.37852939726,5600.33352532062,4181.16763617374,72.5837981128646,300.109364623257,2846.4097149755,2821.65276893514,0.0689461238380318,2.64750571050809,2.71645183434612
46,78825.2644891949,1208.65002681062,0.0854839920637861,0,0,345.665447341607,54.3627559409628,35.9717967174178,0,0,2147.86357588943,356966.139838389,5601.44664988365,5600.4020970358,4183.83491650968,73.9604534778846,308.329162977826,2907.97549590966,2882.38981001404,0.0685717151845893,2.66728033594427,2.73585205112886
47,78831.5400839213,1202.37488516205,0.0850309142548441,0,0,344.876091411995,54.7503215151319,36.3735870728615,0,0,2148.64625779257,356975.004958628,5601.51441379707,5600.47030234687,4186.52151063097,75.3299028155836,316.608480918261,2969.48845830944,2943.06531425413,0.0682053110722336,2.68659412128636,2.7547994323586
48,78837.6818304824,1196.23358200278,0.0845875123408506,0,0,344.103324744516,55.1286931832596,36.7679820722125,0,0,2149.43755316207,356983.926167572,5601.58182874666,5600.53814907962,4189.22696299579,76.6922998998096,324.945914594453,3030.94956773245,3003.68040658935,0.0678467327488761,2.70545236482394,2.77329909757282
49,78843.6927349729,1190.22311145536,0.0841535693036454,0,0,343.346989127862,55.4979914593574,37.1550194127685,0,0,2150.23730238643,356992.901945123,5601.64890217103,5600.60564488837,4191.95082380039,78.047795058524,333.340077839312,3092.35978503836,3064.23620648029,0.0674958087492996,2.7238608045991,2.7913566133484
