,time,S_c1,C_c1,I_c1,VS_c1,VC_c1,S_h1,C_h1,I_h1,VS_h1,VC_h1,D_h1,CInc_1a,CInc_1b,CInc_1c,CInc_1d,col_adm,col_discharges,admissions,discharges,,,,,
59,58,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.570937,356929.553,5602.241105,5601.185923,4087.032638,111.2084276,358.9483209,3458.894296,3453.749645,0.076783589,0.056015092,,0.02915346,
60,59,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.60009,356934.4443,5602.317902,5601.262706,4087.088653,113.1258143,365.137085,3518.530404,3513.297053,0.076783589,0.056015092,,0.02915346,
61,60,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.629244,356939.3356,5602.394699,5601.33949,4087.144668,115.043201,371.3258492,3578.166513,3572.844461,0.076783589,0.056015092,,0.02915346,
62,61,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.658397,356944.2269,5602.471495,5601.416273,4087.200683,116.9605877,377.5146134,3637.802621,3632.391868,0.076783589,0.056015092,,0.02915346,
63,62,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.687551,356949.1181,5602.548292,5601.493057,4087.256698,118.8779743,383.7033775,3697.43873,3691.939276,0.076783589,0.056015092,,0.02915346,
64,63,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.716704,356954.0094,5602.625089,5601.569841,4087.312713,120.795361,389.8921417,3757.074838,3751.486684,0.076783589,0.056015092,,0.02915346,
65,64,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.745858,356958.9007,5602.701886,5601.646624,4087.368728,122.7127477,396.0809058,3816.710947,3811.034091,0.076783589,0.056015092,,0.02915346,
66,65,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.775011,356963.7919,5602.778682,5601.723408,4087.424743,124.6301344,402.26967,3876.347056,3870.581499,0.076783589,0.056015092,,0.02915346,
67,66,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.804164,356968.6832,5602.855479,5601.800191,4087.480758,126.5475211,408.4584341,3935.983164,3930.128907,0.076783589,0.056015092,,0.02915346,
68,67,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.833318,356973.5745,5602.932276,5601.876975,4087.536773,128.4649078,414.6471983,3995.619273,3989.676314,0.076783589,0.056015092,,0.02915346,
69,68,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.862471,356978.4658,5603.009073,5601.953758,4087.592788,130.3822944,420.8359624,4055.255381,4049.223722,0.076783589,0.056015092,,0.02915346,
70,69,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.891625,356983.357,5603.085869,5602.030542,4087.648804,132.2996811,427.0247266,4114.89149,4108.77113,0.076783589,0.056015092,,0.02915346,
71,70,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.920778,356988.2483,5603.162666,5602.107326,4087.704819,134.2170678,433.2134907,4174.527598,4168.318538,0.076783589,0.056015092,,0.02915346,
72,71,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.949932,356993.1396,5603.239463,5602.184109,4087.760834,136.1344545,439.4022549,4234.163707,4227.865945,0.076783589,0.056015092,,0.02915346,
73,72,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.979085,356998.0309,5603.316259,5602.260893,4087.816849,138.0518412,445.591019,4293.799815,4287.413353,0.076783589,0.056015092,,0.02915346,
74,73,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.008239,357002.9221,5603.393056,5602.337676,4087.872864,139.9692279,451.7797832,4353.435924,4346.960761,0.076783589,0.056015092,,0.02915346,
