"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"448",3,0.9,1,8004,1095
"449",4,0.9,1,10672,1532
"450",5,0.9,1,13340,2017
"451",1,1,0.1,2668,2399
"452",2,1,0.1,5336,4778
"453",3,1,0.1,8004,7149
"454",4,1,0.1,10672,9517
"455",5,1,0.1,13340,11884
"456",1,1,0.2,2668,2133
"457",2,1,0.2,5336,4231
"458",3,1,0.2,8004,6317
"459",4,1,0.2,10672,8398
"460",5,1,0.2,13340,10480
"461",1,1,0.3,2668,1871
"462",2,1,0.3,5336,3696
"463",3,1,0.3,8004,5507
"464",4,1,0.3,10672,7315
"465",5,1,0.3,13340,9127
"466",1,1,0.4,2668,1612
"467",2,1,0.4,5336,3171
"468",3,1,0.4,8004,4719
"469",4,1,0.4,10672,6267
"470",5,1,0.4,13340,7823
"471",1,1,0.5,2668,1356
"472",2,1,0.5,5336,2657
"473",3,1,0.5,8004,3952
"474",4,1,0.5,10672,5253
"475",5,1,0.5,13340,6567
"476",1,1,0.6,2668,1104
"477",2,1,0.6,5336,2155
"478",3,1,0.6,8004,3209
"479",4,1,0.6,10672,4276
"480",5,1,0.6,13340,5363
"481",1,1,0.7,2668,855
"482",2,1,0.7,5336,1664
"483",3,1,0.7,8004,2486
"484",4,1,0.7,10672,3332
"485",5,1,0.7,13340,4206
"486",1,1,0.8,2668,610
"487",2,1,0.8,5336,1184
"488",3,1,0.8,8004,1786
"489",4,1,0.8,10672,2423
"490",5,1,0.8,13340,3097
"491",1,1,0.9,2668,367
"492",2,1,0.9,5336,714
"493",3,1,0.9,8004,1105
"494",4,1,0.9,10672,1545
"495",5,1,0.9,13340,2033
"496",1,1,1,2668,129
"497",2,1,1,5336,256
"498",3,1,1,8004,447
"499",4,1,1,10672,703
"500",5,1,1,13340,1019
