"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"461",1,1,0.3,74766,53896
"462",2,1,0.3,149532,108213
"463",3,1,0.3,224298,163519
"464",4,1,0.3,299064,219836
"465",5,1,0.3,373830,277131
"466",1,1,0.4,74766,46902
"467",2,1,0.4,149532,94336
"468",3,1,0.4,224298,143069
"469",4,1,0.4,299064,193137
"470",5,1,0.4,373830,244497
"471",1,1,0.5,74766,39890
"472",2,1,0.5,149532,80406
"473",3,1,0.5,224298,122524
"474",4,1,0.5,299064,166292
"475",5,1,0.5,373830,211660
"476",1,1,0.6,74766,32859
"477",2,1,0.6,149532,66424
"478",3,1,0.6,224298,101883
"479",4,1,0.6,299064,139301
"480",5,1,0.6,373830,178621
"481",1,1,0.7,74766,25810
"482",2,1,0.7,149532,52390
"483",3,1,0.7,224298,81147
"484",4,1,0.7,299064,112164
"485",5,1,0.7,373830,145379
"486",1,1,0.8,74766,18742
"487",2,1,0.8,149532,38303
"488",3,1,0.8,224298,60314
"489",4,1,0.8,299064,84878
"490",5,1,0.8,373830,111930
"491",1,1,0.9,74766,11656
"492",2,1,0.9,149532,24164
"493",3,1,0.9,224298,39385
"494",4,1,0.9,299064,57445
"495",5,1,0.9,373830,78276
"496",1,1,1,74766,4552
"497",2,1,1,149532,9973
"498",3,1,1,224298,18360
"499",4,1,1,299064,29865
"500",5,1,1,373830,44416
