"","num_vacc_per_case","scenario"
"298",1963,"Scenario 6 (small hospital population size)"
"299",1963,"Scenario 6 (small hospital population size)"
"300",1963,"Scenario 6 (small hospital population size)"
"301",1600,"Scenario 6 (small hospital population size)"
"302",1600,"Scenario 6 (small hospital population size)"
"303",1600,"Scenario 6 (small hospital population size)"
"304",1600,"Scenario 6 (small hospital population size)"
"305",1600,"Scenario 6 (small hospital population size)"
"306",1359,"Scenario 6 (small hospital population size)"
"307",1359,"Scenario 6 (small hospital population size)"
"308",1359,"Scenario 6 (small hospital population size)"
"309",1359,"Scenario 6 (small hospital population size)"
"310",1359,"Scenario 6 (small hospital population size)"
"311",1188,"Scenario 6 (small hospital population size)"
"312",1188,"Scenario 6 (small hospital population size)"
"313",1188,"Scenario 6 (small hospital population size)"
"314",1188,"Scenario 6 (small hospital population size)"
"315",1188,"Scenario 6 (small hospital population size)"
"316",1060,"Scenario 6 (small hospital population size)"
"317",1060,"Scenario 6 (small hospital population size)"
"318",1060,"Scenario 6 (small hospital population size)"
"319",1060,"Scenario 6 (small hospital population size)"
"320",1060,"Scenario 6 (small hospital population size)"
"321",962,"Scenario 6 (small hospital population size)"
"322",962,"Scenario 6 (small hospital population size)"
"323",962,"Scenario 6 (small hospital population size)"
"324",962,"Scenario 6 (small hospital population size)"
"325",962,"Scenario 6 (small hospital population size)"
"326",884,"Scenario 6 (small hospital population size)"
"327",884,"Scenario 6 (small hospital population size)"
"328",884,"Scenario 6 (small hospital population size)"
"329",884,"Scenario 6 (small hospital population size)"
"330",884,"Scenario 6 (small hospital population size)"
