"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"339",4,0.7,0.8,111356,54456
"340",5,0.7,0.8,139195,69581
"341",1,0.7,0.9,27839,11094
"342",2,0.7,0.9,55678,22429
"343",3,0.7,0.9,83517,34461
"344",4,0.7,0.9,111356,47231
"345",5,0.7,0.9,139195,60727
"346",1,0.7,1,27839,9217
"347",2,0.7,1,55678,18687
"348",3,0.7,1,83517,28926
"349",4,0.7,1,111356,39981
"350",5,0.7,1,139195,51840
"351",1,0.8,0.1,27839,25728
"352",2,0.8,0.1,55678,51499
"353",3,0.8,0.1,83517,77365
"354",4,0.8,0.1,111356,103328
"355",5,0.8,0.1,139195,129385
"356",1,0.8,0.2,27839,23614
"357",2,0.8,0.2,55678,47311
"358",3,0.8,0.2,83517,71195
"359",4,0.8,0.2,111356,95273
"360",5,0.8,0.2,139195,119539
"361",1,0.8,0.3,27839,21496
"362",2,0.8,0.3,55678,43112
"363",3,0.8,0.3,83517,65006
"364",4,0.8,0.3,111356,87189
"365",5,0.8,0.3,139195,109654
"366",1,0.8,0.4,27839,19373
"367",2,0.8,0.4,55678,38900
"368",3,0.8,0.4,83517,58796
"369",4,0.8,0.4,111356,79076
"370",5,0.8,0.4,139195,99731
"371",1,0.8,0.5,27839,17247
"372",2,0.8,0.5,55678,34679
"373",3,0.8,0.5,83517,52568
"374",4,0.8,0.5,111356,70935
"375",5,0.8,0.5,139195,89769
"376",1,0.8,0.6,27839,15117
"377",2,0.8,0.6,55678,30447
"378",3,0.8,0.6,83517,46322
"379",4,0.8,0.6,111356,62767
"380",5,0.8,0.6,139195,79770
"381",1,0.8,0.7,27839,12984
"382",2,0.8,0.7,55678,26205
"383",3,0.8,0.7,83517,40056
"384",4,0.8,0.7,111356,54570
"385",5,0.8,0.7,139195,69733
"386",1,0.8,0.8,27839,10846
"387",2,0.8,0.8,55678,21951
"388",3,0.8,0.8,83517,33771
"389",4,0.8,0.8,111356,46344
"390",5,0.8,0.8,139195,59657
"391",1,0.8,0.9,27839,8705
"392",2,0.8,0.9,55678,17688
"393",3,0.8,0.9,83517,27468
"394",4,0.8,0.9,111356,38092
"395",5,0.8,0.9,139195,49545
"396",1,0.8,1,27839,6561
